Maintainers by package:
0ad                  kalev limb pcpa
jonny      clitest electron-cash hid4java libsecp256k1 lua-argparse python-aiorpcx python-allpairspy python-b2sdk python-hidapi python-mnemonic python-pbkdf2 python-shamir-mnemonic python-tcolorpy rocksdb
jorti      altermime btrfs-heatmap heimdall python-babelfish python-btrfs python-django-database-url python-factory-boy python-faker python-fuse python-pam python-pytest-benchmark python-rebulk python-sievelib python-stem python-subliminal
joshstrobl budgie-control-center
jpena      python-django-debreach python-django-formtools python-flask-httpauth python-tinyrpc
jplesnik   perl-Best perl-Config-Model-CursesUI perl-Config-Model-Itself perl-FCGI-ProcManager perl-Gnome2-GConf perl-Gtk2-Ex-Utils perl-Gtk2-GladeXML perl-Gtk2-Notify perl-Gtk2-Sexy perl-Gtk2-Spell perl-Gtk2-TrayIcon perl-HTML-HTML5-Entities perl-Icon-FamFamFam-Silk perl-Module-Install-Contributors perl-Module-Install-Copyright perl-Module-Install-TrustMetaYml perl-MooseX-ArrayRef perl-MooseX-AttributeShortcuts perl-MooseX-MarkAsMethods perl-MooseX-Meta-TypeConstraint-Mooish perl-MooseX-Role-Tempdir perl-MooseX-Role-XMLRPC-Client perl-PSGI perl-RDF-Prefixes perl-RDF-TriN3 perl-Reply perl-Statistics-Basic perl-TAP-SimpleOutput perl-Test-Moose-More perl-Test-Run perl-Test-Run-CmdLine perl-Text-Sprintf-Named perl-Text-Table perl-Unix-Process perl-XML-LibXML-Devel-SetLineNumber perl-XML-LibXML-PrettyPrint perl-autobox-Junctions
jruzicka   lua-basexx lua-binaryheap lua-bitop lua-compat53 lua-cqueues lua-fifo lua-http lua-lpeg-patterns lua-luaossl lua-mmdb lua-psl python-lmdb
js         electrum python-pathtools
jskarvad   bltk compiz compiz-plugins-extra compizconfig-python gqrx halibut hpl kalibrate-rtl libcompizconfig libesmtp libshout libsoundio libwvstreams pidgin pptpd preeny putty python-pyobd python-visvis quisk squeak-image squeak-vm t1lib tcl-html tclx vlfrx-tools vmmlib wvdial
jsmith     asterisk-sounds-core dahdi-tools libresample nodejs-acorn-object-spread nodejs-buble nodejs-colors nodejs-linefix nodejs-replace-require-self
jstanek    nodejs-packaging
jsteffan   python-twisted
jtaylor    colm python-idstools ragel
jujens     libzdb mapserver python-CommonMark python-autobahn python-dbf python-dbfread python-et_xmlfile python-gitapi python-glob2 python-hgapi python-jinja2-cli python-leather python-openpyxl python-pytest-mock python-pytest-watch python-recommonmark python-restructuredtext-lint python-snappy python-sphinx-intl python-sphinx-theme-py3doc-enhanced python-txaio unifrakturmaguntia-fonts
julian8628 ursa-major
junghans   libaec libcerf libcircle libecpint lmfit tng
jussilehtola IQmol OpenMolcas QsLog agedu arpack gau2grid json-fortran libcint libefp multitail packmol psi4 python-deepdiff python-qcelemental test-drive
jvanek     CFR CardManager console-image-viewer hexer jacoco java-latest-openjdk java-latest-openjdk-portable jigawatts jpanoramamaker rsyntaxtextarea system-switch-java tagsoup
jwboyer    kernel linux-firmware
jwrdegoede AllegroOGG ClanLib ClanLib06 ClanLib1 DevIL Hermes MagicPoint SAASound SDL_sound SILLY adime alfont allegro5 ballz cbios cdogs-sdl cegui06 coldet compat-lua compat-tolua++ cortado dom4j drehatlas-widelands-fonts duel3 dumb dynamite enet envytools flyingsaucersattack freealut funguloids glyph-keeper gstream hawknl jaxen kernel libcacard libglpng libmikmod libusb1 mdbtools mikmod mingw-usbredir ogre openal-soft openlierox plee-the-bear plib portaudio quesoglc scorched3d scorchwentbonkers sdljava sfxr sjasm spice tolua++ upslug2 vecmath1.2 wordwarvi xfig xorg-x11-drv-qxl
kalev      0ad 0ad-data ImageMagick accerciser atkmm2.36 clutter clutter-gtk cogl firefox five-or-more flatpak-module-tools gdlmm glade gnome-klotski gnome-music gnome-nettool gnome-tetravex gssdp gtkmm2.4 gupnp-av gupnp-dlna ldc libchamplain libgepub libgit2-glib libglib-testing mingw-SDL_image mingw-atk mingw-goocanvas2 mingw-gtksourceview3 mingw-harfbuzz mingw-libepoxy mingw-libvorbis mingw-libxslt mono-bouncycastle nvidia-texture-tools pkcs11-dump quadrapassel rest0.7 sassc tali totem totem-pl-parser
kanitha    libxo
kasal      libtool qt
kashyapc   multitail
kb1000     renderdoc
kdudka     enum libtar
keesdejong catimg
kevin      ansible-collection-kubernetes-core bluebird exo florence garcon greybird hiredis keybinder3 levien-inconsolata-fonts libXpresent libopkele libxfce4ui libxfce4util lua-md5 mod_auth_openid perl-Net-Patricia php-pear-Net-Curl pylibacl python-IPy python-anykeystore python-backlash python-beanbag python-beautifulsoup4 python-chai python-cloud-sptheme python-cpio python-crank python-cssselect python-eventlet python-flask-mako python-gearbox python-html5-parser python-hupper python-kajiki python-kitchen python-lockfile python-munch python-pygments-markdown-lexer python-pylibravatar python-pypng python-pyramid-tm python-pytest-fixture-config python-pytest-shutil python-redis python-sanction python-sieve python-sphinx-notfound-page python-stuf python-twiggy python-txws python-vcrpy python3-py3dns pyxattr tulrich-tuffy-fonts tumbler xfce4-panel xfce4-vala xfwm4-themes ykpers yubikey-personalization-gui
kheib      libpsm2 sockperf
kilobyte   colorized-logs
kkeithle   python-crcmod python-cssselect python-gevent python-jaraco-text python-pkgconfig python-repoze-lru python-routes python-wurlitzer rocksdb zfp
kkofler    blogilo falkon kde-i18n kde-runtime kdegames3 kmid2 kuser qimageblitz qt qt-assistant-adp qt5-qtwebengine
kni        fcgi fcgiwrap glyphicons-halflings-fonts lirc netatalk nextcloud
kochstefan libusbauth-configparser
konradm    elementary rescene rtorrent terminology
korkeala   clojure clojure-core-specs-alpha clojure-maven-plugin clojure-spec-alpha jakarta-interceptors jakarta-server-pages kawa
kraxel     mingw-libogg mingw-spice-protocol
krege      CQRlib CVector NearTree blt bwidget itcl itk iwidgets tdom tklib tktray
ktdreyer   kstart luarocks pam_afs_session python-apipkg python-cmd2 python-execnet reprepro tinyxml
ktock      stargz-snapshotter
kushal     clojure pycolumnize python-retask python-walkdir uflash vagrant-digitalocean
kvolny     comic-neue-fonts game-music-emu horai-ume-fonts libbs2b librcd mp3gain
kwizart    afflib akmods asdcplib bcd bitstream cmrt daala icc-profiles-basiccolor-printing2009 icc-profiles-openicc kmodtool libmatroska libupnp libva-utils libva-v4l2-request nv-codec-headers nvidia-query-resource-opengl python-aiohttp-negotiate quazip rttr schroedinger tegrarcm vdpauinfo
lachmanfrantisek python-click-man
landgraf   global gnat-srpm-macros
larsks     cava
law        isl
laxathom   dSFMT gnome-desktop-sharp gnome-sharp gtk-sharp2 kBuild libgdiplus mono-tools python-path raidem raidem-music tilda
lbalhar    python-QtPy python-aaargh python-boolean.py python-crayons python-entrypoints python-executing python-http-client python-json-logger python-matplotlib-inline python-pickleshare python-pipdeptree python-pudb python-pure-eval python-pyproject-api python-sphinxcontrib-apidoc python-urwid-readline python-virtualenv tldr vex
lbazan     greybird python-django-ajax-selects python-django-crispy-forms python-django-markdownx python-ipmi python-parsley python-resumable-urlretrieve svn2cl
lberk      python-rmtest
lbrabec    python-flask-caching
leamas     ddupdate entypo-fonts iguanaIR libirman lirc lpf mnmlicons-fonts python-xlwt rundoc snip
lecris     tmt
leigh123linux akmods cinnamon cinnamon-control-center cinnamon-desktop cinnamon-menus cinnamon-screensaver cinnamon-session cinnamon-settings-daemon cjs kmodtool mint-y-icons nemo python-xapp
lenkaseg   python-pyopencl python-pytools
leoleovich disciplining-minipod ubloxcfg
levined    nmh
limb       0ad 0ad-data angelscript clucene enchant freealut gnome-bluetooth3.34 gstreamer1-doc gstreamer1-plugins-bad-free gstreamer1-rtsp-server libdbi libdbi-drivers libgpod libupnp minetest motif nvidia-texture-tools pycanberra python-aiodns python-basemap python-cherrypy python-logutils python-minimock python-pecan python-pycares python-pytest-cov python-repoze-lru python-timeout-decorator python-vcrpy rust-crc-any rust-debug-helper tcputils teeworlds tremulous-data warsow-data warzone2100
linkdupont abduco endless-sky golang-github-jackc-chunkreader-2 rcm
linville   can-utils dpdk kernel pimd toolshed unzoo
ljavorsk   aspell-en aspell-ru man-pages-l10n mysql-connector-odbc
lkundrak   GLee bam clearlooks-compact-gnome-theme debootstrap dev86 erlang-jiffy extra-cmake-modules fakeroot fluid icestorm insight jfreechart kBuild libclaw libdrm-armada libetnaviv libqtxdg mdbtools micronucleus netbsd-iscsi nextpnr p11-remote perl-HTML-Template-Pro pgp-tools pnglite qt5-qtaccountsservice qt5-qtconfiguration rubygem-launchy teeworlds trellis xorg-x11-drv-armada xscreensaver yosys
logic      golang-github-asaskevich-govalidator golang-github-boombuler-barcode golang-github-mgutz-ansi golang-github-streadway-amqp python-pygments-style-solarized
loveshack  superlu_dist
lslebodn   python-dockerfile-parse python-requests-pkcs12
lsm5       stargz-snapshotter
luk1337    heimdall znc-push
luya       ImageMagick YafaRay echo-icon-theme f27-backgrounds f28-backgrounds gpick scribus-generator typetype-molot-fonts
lyude      envytools xorg-x11-drv-nouveau
lzachar    tmt
lzap       pwkickstart
m4rtink    keybinder3 pyotherside python-pydbus
maha       beets python-sphinxcontrib-autoprogram
manpaz     ec2-metadata
marcdeop   akonadi-calendar-tools attica grantlee-qt5 gwenview kcachegrind kdb kdebugsettings kdialog keditbookmarks kfind knotes konqueror kontact kphotoalbum kproperty ksirk ksudoku libaccounts-glib libkeduvocdocument libmygpo-qt maliit-framework okteta oxygen-fonts oxygen-gtk2 phonon phonon-backend-gstreamer plasma-workspace raptor2 soprano
marcindulak FoXlibf daq ga python-ase python-idstools
martinkg   FreeSOLID bear-factory boomaga cxxtools htmlcxx kqoauth-qt5 libchardet libclaw libqxt-qt5 mlt otter-browser plee-the-bear python-wikipedia qxtglobalshortcut shutter tntnet vdr-epg-daemon vdr-live vdrsymbol-fonts webvfx
mathstuf   dmenu dropbox-api-command feh ghc-base-compat khal
mattia     python-aioitertools
matyas     uberftp
mavit      sox twitter-twemoji-fonts
maxamillion bluebird bpython dvtm osbs-client python-dockerfile-parse python-redis
mbaldessari beets khal python-click-log python-click-threading python-dpkt python-jellyfish
mbayer     python-sqlalchemy-collectd
mbooth     args4j bouncycastle decentxml jakarta-el jchardet jetty jopt-simple jsch-agent-proxy trilead-ssh2
mbroz      dt
mcbeeffx   drpm
mcermak    xlockmore
mclasen    accerciser aisleriot atkmm2.36 clutter clutter-gtk cogl fedora-workstation-repositories five-or-more gdlmm glade gnome-dictionary gnome-klotski gnome-music gnome-nettool gnome-system-log gnome-tetravex gssdp gtk2 gtkmm2.4 gtksourceview3 gupnp-av gupnp-dlna iagno libchamplain libgepub libglib-testing libgnome-keyring media-player-info mousetweaks quadrapassel rest0.7 tali totem totem-pl-parser
mcrha      pidgin-chime
mcurlej    module-build
mdomonko   python-urlgrabber
melmorabity antlrworks apache-commons-math crossguid dvblinkremote emacs-json-reformat jgoodies-common jgoodies-forms jgoodies-looks python-iso3166 shairplay waylandpp
mfabian    ibus-table-chinese man-pages-l10n
mgieseki   xqc
mhayden    golang-github-kardianos-service python-knack python-vcrpy python-virtualenv rofimoji wtype
mhjacks    vim-ale vim-syntastic
mhlavink   arm-none-eabi-binutils-cs libpng libpng12 libpng15 tmt
michich    libibcommon libpsm2 qperf sockperf
mikelo2    bats endlessh fuse-pingfs go2rpm golang-bazil-fuse golang-bitbucket-ww-goautoneg golang-etcd-bbolt golang-github-a8m-tree golang-github-alecthomas-kong-hcl golang-github-alexflint-filemutex golang-github-anmitsu-shlex golang-github-antchfx-xmlquery golang-github-antihax-optional golang-github-armon-socks5 golang-github-aws-lambda golang-github-beorn7-perks golang-github-bitly-simplejson golang-github-blang-semver golang-github-bmizerany-assert golang-github-bshuster-repo-logrus-logstash-hook golang-github-burntsushi-toml golang-github-burntsushi-toml-test golang-github-chi golang-github-chzyer-test golang-github-circonus-labs-apiclient golang-github-circonus-labs-circonusllhist golang-github-circonus-labs-gometrics golang-github-clbanning-mxj golang-github-clbanning-x2j golang-github-codegangsta-inject golang-github-colinmarc-hdfs-2 golang-github-cpuguy83-md2man golang-github-crossdock golang-github-davecgh-spew golang-github-denisenkom-mssqldb golang-github-docker-go golang-github-docopt golang-github-dustin-humanize golang-github-dvsekhvalnov-jose2go golang-github-eapache-queue golang-github-eapache-resiliency golang-github-eapache-xerial-snappy golang-github-erikstmartin-testdb golang-github-felixge-httpsnoop golang-github-francoispqt-gojay golang-github-franela-goblin golang-github-franela-goreq golang-github-ghodss-yaml golang-github-gin-contrib-sse golang-github-git-gcfg golang-github-gobuffalo-logger golang-github-gobuffalo-packd golang-github-gobuffalo-packr golang-github-google-pprof golang-github-google-querystring golang-github-gorilla-csrf golang-github-gorilla-handlers golang-github-gorilla-securecookie golang-github-gorilla-sessions golang-github-gregjones-httpcache golang-github-h2non-parth golang-github-hailocab-hostpool golang-github-hdrhistogram golang-github-huandu-xstrings golang-github-ianlancetaylor-demangle golang-github-influxdata-influxdb1-client golang-github-jessevdk-flags golang-github-jinzhu-gorm golang-github-jinzhu-inflection golang-github-josharian-intern golang-github-json-iterator golang-github-jtolds-gls golang-github-julienschmidt-httprouter golang-github-k0kubun-ansi golang-github-karrick-godirwalk golang-github-karrick-golf golang-github-kballard-shellquote golang-github-kisielk-sqlstruct golang-github-kr-fs golang-github-labstack-echo-4 golang-github-leodido-urn golang-github-lib-pq golang-github-mailru-easyjson golang-github-markbates-errx golang-github-markbates-oncer golang-github-markbates-safe golang-github-mattn-colorable golang-github-mattn-isatty golang-github-mattn-runewidth golang-github-mattn-sqlite3 golang-github-mitchellh-colorstring golang-github-mitchellh-homedir golang-github-mitchellh-mapstructure golang-github-mitchellh-wordwrap golang-github-mreiferson-httpclient golang-github-mxk-flowrate golang-github-nxadm-tail golang-github-olekukonko-tablewriter golang-github-onsi-ginkgo golang-github-onsi-gomega golang-github-op-logging golang-github-otiai10-copy golang-github-otiai10-mint golang-github-patrickmn-cache golang-github-pborman-getopt golang-github-peterbourgon-diskv golang-github-philhofer-fwd golang-github-pierrec-cmdflag golang-github-pkg-browser golang-github-playground-assert-2 golang-github-playground-locales golang-github-playground-universal-translator golang-github-pmezard-difflib golang-github-rs-xid golang-github-rs-zerolog golang-github-shiena-ansicolor golang-github-smartystreets-assertions golang-github-sourcegraph-jsonrpc2 golang-github-spf13-cast golang-github-stretchr-objx golang-github-stretchr-testify golang-github-syndtr-goleveldb golang-github-test-deep golang-github-tidwall-pretty golang-github-tv42-httpunix golang-github-urfave-cli-2 golang-github-weppos-publicsuffix golang-github-xlzd-gotp golang-github-xrash-smetrics golang-github-zclconf-cty golang-gopkg-check-1 golang-gopkg-h2non-gock-1 golang-gopkg-inf-0 golang-gopkg-logex-1 golang-gopkg-warnings-0 golang-rsc-pdf golang-uber-atomic golang-uber-multierr golang-uber-ratelimit golang-uber-zap keepassxc libtree-ldd multitail nginx-mod-vts parallel pg_activity python-factory-boy python-faker python-port-for python-pytest-flakes python-pytest-lazy-fixture python-pytest-randomly python-pytest-shutil python-sphinx-argparse python-termcolor tldr
mikep      Mars academic-admin golang-github-azure-amqp golang-github-azure-amqp-common golang-github-bep-workers golang-github-devigned-tab golang-github-evanw-esbuild golang-github-fatih-color golang-github-getkin-kin-openapi golang-github-gohugoio-locales golang-github-pelletier-toml-2 golang-github-rwcarlsen-goexif golang-github-tj-assert golang-gopkg-neurosnap-sentences-1 golang-nhooyr-websocket python-ailment python-archinfo python-claripy python-colored-traceback python-plumbum python-rpyc
milovidov  daggy
mizdebsk   args4j decentxml dom4j hawtjni java-packaging-howto jaxen jchardet jetty jopt-simple jsch-agent-proxy jtidy plexus-interactivity sdljava tagsoup xstream
mkasik     gtk2
mkoncek    args4j decentxml dom4j hawtjni jakarta-saaj java-packaging-howto jaxen jchardet jetty jopt-simple jsch-agent-proxy jtidy plexus-interactivity sdljava tagsoup xmlstreambuffer xstream
mkrupcale  libpqxx
mkyral     kwayland-server
mmassari   python-APScheduler
mmckinst   nawk
moceap     code2html compat-lua fakeroot gnulib inkscape-psd innoextract kmplayer libraqm scanssh smcalc tolua++ xar
mohanboddu python-mechanize
monnerat   insight python-caja xca
mooninite  FAudio deluge domoticz mingw-curl mingw-libarchive mingw-libmicrohttpd mingw-libtiff mingw-orc mingw-postgresql mingw-wine-gecko miniupnpd php-liuggio-statsd-php-client php-oojs-oojs-ui php-wikimedia-assert php-zordius-lightncandy rb_libtorrent tinyxpath vkd3d
mpolacek   cvise
mrc0mmand  dmenu lutok reptyr
mrunge     eventlog fontawesome-fonts nodejs-packaging python-beautifulsoup4 python-celery python-django-angular python-django-authority python-django-compressor python-django-debug-toolbar python-django-formtools python-django-mptt python-django-pipeline python-django-pytest python-django-redis python-django-reversion python-django-tables2 python-django-tagging python-django-tastypie python-flake8 python-kombu python-py python-routes python-simplejson python-sqlalchemy-collectd python-virtualenv
mschorm    mysql-connector-net mysql-connector-odbc
mschwendt  audacious-plugins
msekleta   libwvstreams ttcp wvdial
mspacek    dnssec-tools lookup
msrb       pg-semver
mtasaka    efont-unicode-bdf gabedit monafont mpqc ngspice ochusha rubygem-minitest5 rubygems skf skkdic wvs-data xscreensaver xtide
muep       glm rtmidi
music      fcitx5-mozc python-defcon teem
musuruan   gcompris-qt libicns oflb-dignas-handwriting-fonts ogr2osm whichwayisup zaz
mvadkert   tmt
myoung     kernel xen
mystro256  cubeb iyfct mrrescue orthorobot rocm-runtime rocminfo safetyblanket umr
nalimilan  dSFMT openlibm openspecfun
nathans    golang-github-benbjohnson-clock golang-github-inconshreveable-log15 golang-github-stack golang-github-urfave-cli-2 python-rmtest
nb         imapsync libyubikey pam_yubico pgpdump python-bitarray python-cloudflare python-dns-lexicon sysreporter ykclient ykpers yubikey-val
nbecker    python-cycler
ndim       cowsay-beefymiracle cstream mingw-libltdl
neelc      python-tqdm
neil       aria2 mapserver python-etcd thc-ipv6 tinyows
netvor     python-kanboard
nforro     aspell-en aspell-ru libcgroup libpng libpng12 libpng15 man-pages-l10n pilot-link uClibc vim-go
ngompa     SDL2_image SDL2_net aml asahi-scripts atf brightnessctl capnproto comps-extras d-din-fonts ddnet debconf debootstrap dnf-plugin-cow dpkg dxvk-native egl-gbm fakechroot fakeroot fortune-mod gamescope generic-logos gtksourceview4 kBuild kwave ladspa libappindicator libass libevdevPlus libgit2-glib libinjection libmatroska libphonenumber libprojectM libshout libuInputPlus libyui libyui-gtk libyui-mga libyui-mga-gtk libyui-mga-ncurses libyui-mga-qt lightdm-autologin-greeter linux-system-roles mingw-jsoncpp mlt mock-centos-sig-configs mozilla-zilla-slab-fonts mupen64plus musl nginx-mod-vts noggin nwg-panel obs-service-rust2rpm openbox-theme-mistral-thin openbox-theme-mistral-thin-dark openssh-ldap-authkeys perl-Diff-LibXDiff php-libvirt python-celery python-cerberus python-click-completion python-django-allauth python-django-gravatar2 python-django-picklefield python-django-q python-dkimpy python-flask-healthz python-flask-mail python-freeipa python-gettext python-gunicorn python-kombu python-manatools python-noggin-messages python-npyscreen python-pudb python-pytest-services python-translitcodec python-trololio python-urlgrabber python-vine python-whitenoise qbs reprepro sassc sdl12-compat slibtool surf swappy triehash wayvnc websocketpp wl-gammactl wlogout wlr-sunclock wob
nikromen   python-XStatic-Bootstrap-SCSS python-backoff
nonamedotc argtable exo garcon greybird gsequencer ipe keepassxc libxfce4ui libxfce4util python-nmrglue thunar-archive-plugin tumbler xfce4-diskperf-plugin xfce4-fsguard-plugin xfce4-genmon-plugin xfce4-mpc-plugin xfce4-panel xfce4-screensaver xfce4-systemload-plugin xfce4-wavelan-plugin xfce4-weather-plugin xfce4-xkb-plugin xfwm4-themes
noon       python-mockito
nosnilmot  pidgin
nphilipp   gtkimageview jack-audio-connection-kit lensfun libgnomecanvasmm26 libiec61883 liblo libmypaint libraw1394 lilv lv2 plotmm python-sqlalchemy python-towncrier serd sord sratom suil
nucleo     gwenview kphotoalbum kwebkitpart libpgf mingw-gsl oxygen-gtk2
nvieville  akmods kmodtool
obudai     golang-github-golangci-lint-1 golang-github-jwt golang-github-labstack-gommon
ofourdan   luit xdotool xorg-x11-drv-ati xorg-x11-drv-intel xwud
ogajduse   python-apypie
okozina    dt
olem       golang-github-kyokomi-emoji
omajid     beansbinding system-switch-java
omos       python-jaraco-text quazip
ondrejj    TurboGears2 aspell-sk libirman python-WSGIProxy2 python-backlash python-chameleon python-crank python-formencode python-gearbox python-kajiki python-paste python-paste-deploy python-pylons-sphinx-themes python-repoze-tm2 python-repoze-who python-repoze-who-plugins-sa python-sieve python-speaklater python-tw2-core python-tw2-forms python-webob python-webtest python-xlrd
onemorebyte swayidle
orange-kao python-accept-types python-executing python-exoscale python-folium python-gnupg python-google-i18n-address python-odata-query python-pytest-localserver python-requests-exoscale-auth python-sentry-sdk python-sly python-stripe python-twilio python-xml2rfc python-zxcvbn
orion      Mayavi ast catalyst cpp-httplib elfio flow-tools ftnchek garcon glew glm h5py hdf hiredis irrlicht itcl itk iwidgets jchardet js-jquery kstart lasi libaesgm libgeotiff libpgf libxfce4ui lua-bitop lua-json lua-lunitx lua-posix lua-term mingw-libtiff mingw-libxslt ncl netcdf4-python octave-general octave-interval octave-io openmpi openspecfun pcfi perl-ConfigReader plplot pslib pyotherside pyscard python-AppTools python-cftime python-ecdsa python-enthought-sphinx-theme python-entrypoints python-fido2 python-frozendict python-gevent python-locket python-lz4 python-nbformat python-pamela python-pkgconfig python-process-tests python-pycodestyle python-pycosat python-pytest-benchmark python-pytest-isort python-pytest-mpi python-rencode python-schema python-virtualenv python-winrm python-xlib qtbrowserplugin reproc rhash rust-crc-any rust-debug-helper superlu_dist tcp_wrappers udunits2 vtable-dumper xdotool ykclient zfp
orphan     elementary gecode glide golang-github-adrg-xdg golang-github-aliyun-ossutil golang-github-alyu-configparser golang-github-armon-metrics golang-github-droundy-goopt golang-github-eclipse-paho-mqtt golang-github-gocql golang-github-jarcoal-httpmock golang-github-kr-pty golang-github-lestrrat-envload golang-github-lestrrat-strftime golang-github-magiconair-properties golang-github-mattn-ieproxy golang-github-rjeczalik-notify golang-github-sgreben-flagvar golang-github-vividcortex-ewma gotags ipmiutil mingw-speexdsp muse nodejs-underscore python-catkin_lint python-fissix rubygem-systemu zola
osloup     docbook5-style-xsl nss_nis orafce pg_auto_failover postgresql-pgpool-II
osoukup    vim-ctrlp
otaylor    fedora-flathub-remote fedora-third-party flatpak-module-tools
ovasik     docbook-slides docbook5-style-xsl enum passivetex pax
pali       mapserver
patrickt   kernel
patrikp    monocypher
pbiering   IP2Location tcp_wrappers
pbrobinson can-utils gtts gtts-token intelhex libcoap libopusenc libwebsockets linux-firmware mimic mosquitto mqtt-randompub opus-tools py-spidev pychromecast python-casttube restool uboot-tools vboot-utils wpan-tools
pcahyna    gnuplot linux-system-roles
pcpa       0ad gc xedit
pcullen    disciplining-minipod ubloxcfg
pemensik   cpp-httplib openresolv uvw
perex      tinycompress
peter      common-lisp-controller dmg2img electron-cash erlang-base64url erlang-bbmustache erlang-chronos erlang-cl erlang-cowboy erlang-eflame erlang-egeoip erlang-eradius erlang-erlsyslog erlang-erlware_commons erlang-erlydtl erlang-esasl erlang-fuse erlang-gettext erlang-goldrush erlang-gtknode erlang-hyper erlang-idna erlang-jiffy erlang-jose erlang-jsx erlang-kvc erlang-mochiweb erlang-mustache erlang-neotoma erlang-oauth erlang-oauth2 erlang-p1_oauth2 erlang-ranch erlang-rebar erlang-rpm-macros erlang-sd_notify erlang-ssl_verify_fun expatpp flite freeradius-client leveldb libsecp256k1 opal portaudio ptlib python-hidapi python-pbkdf2 python-pybeam python-shamir-mnemonic rocksdb rply unar unshield
petersen   Agda-stdlib clang13 cpphs ghc-base-compat ghc-base-compat-batteries ghc-bower-json ghc-call-stack ghc-conduit ghc-conduit-extra ghc-cookie ghc-hoauth2 ghc-hslua-module-text ghc-hspec ghc-hspec-core ghc-hspec-discover ghc-http-client-openssl ghc-monad-logger ghc-protolude ghc-relude ghc-repline ghc-rio ghc-shakespeare ghc-streaming-commons ghc-typed-process ghc-unliftio ghc-yesod ghc-yesod-core ghc-yesod-form ghc-yesod-persistent hugs98 lld13 llvm11 llvm12 llvm13 php-gettext-gettext python-tinydb
pfilipen   nodejs-bash-language-server oddjob-gpupdate
pfrields   opal python-pulsectl
pghmcfc    milter-greylist perl-Geography-Countries
philipp    perl-Net-Patricia
phracek    libpng libpng12 libpng15 mikmod vim-javabrowser vim-taglist
pidgornyy  bspwm sxhkd
pingou     geany primer3 python-GeoIP python-celery python-chai python-flask-admin python-flask-multistatic python-kitchen python-kombu python-schema python-sqlalchemy-utils python-straight-plugin python-vine python-wtforms python-xlrd
pjgeorg    brightnessctl
pjones     cdparanoia
pjp        python-blinker python-flask-openid python-flask-sqlalchemy python-html5lib python-kombu python-oauth2 python-pylibmc python-wtforms
pkfed      fastbit
pkubat     nss_nis orafce pax rusers rwall rwho tcl-pgtcl
plfiorini  fluid qt5-qtaccountsservice qt5-qtconfiguration
pmachata   compat-flex
pmatilai   can-utils
pmazzini   disciplining-minipod ubloxcfg
pmikova    java-latest-openjdk java-latest-openjdk-portable swing-layout system-switch-java
poetinha   dolphin-connector
ppisar     llconf nas ooo2txt open-mtools pcsc-lite-asekey perl-Best perl-FCGI-ProcManager perl-GStreamer1 perl-Gnome2-GConf perl-Gnome2-Vte perl-Gtk2-Ex-FormFactory perl-Gtk2-Ex-Utils perl-Gtk2-GladeXML perl-Gtk2-Notify perl-Gtk2-Sexy perl-Gtk2-Spell perl-Gtk2-TrayIcon perl-HTTP-Link-Parser perl-Icon-FamFamFam-Silk perl-JSON-Create perl-Module-Install-Contributors perl-Module-Install-Copyright perl-Module-Install-TrustMetaYml perl-Module-Package-RDF perl-MooX-Role-Parameterized perl-MooseX-Role-Tempdir perl-MooseX-Role-XMLRPC-Client perl-Net-UPnP perl-NetPacket perl-PSGI perl-PerlX-Maybe-XS perl-RDF-Prefixes perl-RDF-TriN3 perl-Reply perl-Statistics-Basic perl-TAP-SimpleOutput perl-Test-Moose-More perl-Test-Run perl-Test-Run-CmdLine perl-Text-Sprintf-Named perl-Text-Table perl-Unix-Process perl-XML-Atom-OWL perl-XML-LibXML-Debugging perl-XML-LibXML-Devel-SetLineNumber perl-XML-LibXML-PrettyPrint perl-autobox-Junctions perl-libwhisker2 ramond
praiskup   gc libtool orafce pax postgresql-ip4r postgresql-pgpool-II pspg python-backoff python-progress python-retask tcl-pgtcl vim-ale vim-rhubarb
prgutier   openarc
proski     xorgxrdp xrdp
psabata    dmenu dvtm lsw wmname xssstate
pschiffe   lnav
psloboda   mysql-connector-odbc
pspacek    lua-basexx
psss       tmt
psutter    iptstate
pvalena    rubygem-cookiejar rubygem-haml rubygem-hashery rubygem-hitimes rubygem-xmlrpc
pvoborni   fontawesome-fonts
pwhalen    pyjokes pyowm
pwouters   argtable dehydrated libotr lrmi python-accept-types python-executing python-exoscale python-folium python-gnupg python-google-i18n-address python-odata-query python-pyspf python-pytest-localserver python-requests-exoscale-auth python-sentry-sdk python-sly python-stripe python-twilio python-xml2rfc python-zxcvbn qrencode sslsplit tcpcrypt xca xdaliclock
pwu        ibus-table-chinese
q5sys      fedora-jam-kde-theme gears-backgrounds goddard-backgrounds laughlin-kde-theme leonidas-kde-theme lovelock-kde-theme solar-kde-theme verne-kde-theme
