Maintainers by package:
0ad                  kalev limb pcpa
golang-github-bgentry-speakeasy alexsaezm jchaloup
golang-github-bifurcation-mint eclipseo
golang-github-bitly-simplejson jchaloup mikelo2
golang-github-blakesmith-ar qulogic
golang-github-blang-semver mikelo2
golang-github-bmizerany-assert jchaloup mikelo2
golang-github-boombuler-barcode logic
golang-github-bruth-assert saluki
golang-github-bshuster-repo-logrus-logstash-hook mikelo2
golang-github-bugsnag alexsaezm
golang-github-bugsnag-panicwrap alexsaezm jchaloup
golang-github-burntsushi-toml dfateyev mikelo2
golang-github-burntsushi-toml-test mikelo2
golang-github-burntsushi-xgb eclipseo
golang-github-c-bata-prompt eclipseo
golang-github-cactus-statsd-client alexsaezm
golang-github-cention-sany-utf7 eclipseo
golang-github-chai2010-gettext eclipseo
golang-github-chappjc-logrus-prefix dcavalca
golang-github-cheekybits-is zsun
golang-github-chi    mikelo2
golang-github-chris-ramon-douceur eclipseo
golang-github-chromedp qulogic
golang-github-chromedp-cdproto qulogic
golang-github-chromedp-sysutil eclipseo
golang-github-chzyer-test jchaloup mikelo2
golang-github-cilium-ebpf alexsaezm
golang-github-circonus-labs-apiclient mikelo2
golang-github-circonus-labs-circonusllhist mikelo2
golang-github-circonus-labs-gometrics mikelo2
golang-github-clbanning-mxj mikelo2
golang-github-clbanning-x2j mikelo2
golang-github-clickhouse dcavalca
golang-github-client9-plaintext eclipseo
golang-github-cmd    eclipseo
golang-github-cockroachdb-pebble eclipseo
golang-github-cockroachdb-sentry alexsaezm
golang-github-codegangsta-inject mikelo2
golang-github-colinmarc-hdfs-2 mikelo2
golang-github-coreos-ioprogress eclipseo
golang-github-cpu-goacmedns eclipseo
golang-github-cpuguy83-md2man dfateyev mikelo2
golang-github-creack-goselect qulogic
golang-github-creack-pty alexsaezm
golang-github-crossdock mikelo2
golang-github-cucumber-gherkin eclipseo
golang-github-cucumber-godog eclipseo
golang-github-cucumber-messages eclipseo
golang-github-d2g-dhcp4 alexsaezm
golang-github-daaku-zipexe eclipseo
golang-github-data-dog-sqlmock dcavalca
golang-github-datadog alexsaezm
golang-github-davecgh-spew mikelo2
golang-github-denisbrodbeck-machineid dcavalca
golang-github-denisenkom-mssqldb mikelo2
golang-github-devigned-tab mikep
golang-github-dgrijalva-jwt alexsaezm
golang-github-disintegration-imaging felixonmars zsun
golang-github-djherbis-atime qulogic
golang-github-dlclark-regexp2 athoscr
golang-github-dnaeon-vcr alexsaezm jchaloup
golang-github-docker-go mikelo2
golang-github-docopt mikelo2
golang-github-droundy-goopt orphan
golang-github-dustin-humanize mikelo2
golang-github-dvsekhvalnov-jose2go jchaloup mikelo2
golang-github-eapache-queue mikelo2
golang-github-eapache-resiliency mikelo2
golang-github-eapache-xerial-snappy mikelo2
golang-github-eclipse-paho-mqtt orphan
golang-github-edsrzf-mmap alexsaezm
golang-github-eknkc-amber athoscr
golang-github-elazarl-bindata-assetfs eclipseo
golang-github-emersion-message eclipseo
golang-github-emersion-sasl eclipseo
golang-github-emersion-smtp eclipseo
golang-github-emersion-textwrapper eclipseo
golang-github-emicklei-restful alexsaezm
golang-github-erikstmartin-testdb mikelo2
golang-github-errors alexsaezm
golang-github-evanw-esbuild mikep
golang-github-facebookgo-clock eclipseo
golang-github-facebookincubator-contest dcavalca
golang-github-facebookincubator-dhcplb dcavalca
golang-github-fatih-color mikep
golang-github-felixge-httpsnoop mikelo2
golang-github-fernet alexsaezm
golang-github-flynn-json5 eclipseo jchaloup
golang-github-fogleman-gg cheeselee zsun
golang-github-form3tech-oss-jwt alexsaezm
golang-github-fortytw2-leaktest athoscr
golang-github-francoispqt-gojay mikelo2
golang-github-franela-goblin mikelo2
golang-github-franela-goreq mikelo2
golang-github-frankban-quicktest alexsaezm
golang-github-fvbommel-util eclipseo
golang-github-geertjohan-incremental eclipseo
golang-github-getkin-kin-openapi mikep
golang-github-ghodss-yaml jchaloup mikelo2
golang-github-gin-contrib-cors trix
golang-github-gin-contrib-sse mikelo2
golang-github-gin-gonic alexsaezm
golang-github-git-gcfg mikelo2
golang-github-globalsign-mgo alexsaezm jchaloup
golang-github-gobuffalo-envy athoscr
golang-github-gobuffalo-here eclipseo
golang-github-gobuffalo-logger mikelo2
golang-github-gobuffalo-packd mikelo2
golang-github-gobuffalo-packr mikelo2
golang-github-gobwas-glob athoscr
golang-github-gobwas-httphead qulogic
golang-github-gobwas-pool qulogic
golang-github-gobwas-ws qulogic
golang-github-goccy-json eclipseo
golang-github-gocql  orphan
golang-github-gofrs-uuid alexsaezm
golang-github-gogs-chardet eclipseo
golang-github-gohugoio-locales mikep
golang-github-gojuno-minimock dcavalca
golang-github-gokyle-twofactor fale
golang-github-golangci-lint-1 obudai
golang-github-golangplus-bytes qulogic
golang-github-golangplus-fmt qulogic
golang-github-golangplus-testing qulogic
golang-github-gomarkdown-markdown eclipseo
golang-github-google-goterm dcavalca
golang-github-google-pprof jchaloup mikelo2
golang-github-google-querystring mikelo2
golang-github-gorilla-csrf mikelo2
golang-github-gorilla-css athoscr
golang-github-gorilla-handlers jchaloup mikelo2
golang-github-gorilla-schema alexsaezm
golang-github-gorilla-securecookie jchaloup mikelo2
golang-github-gorilla-sessions jchaloup mikelo2
golang-github-gosexy-gettext zyga
golang-github-gosuri-uilive dcavalca
golang-github-gregjones-httpcache jchaloup mikelo2
golang-github-grpc-ecosystem-gateway alexsaezm
golang-github-grpc-ecosystem-gateway-2 fale
golang-github-gucumber eclipseo
golang-github-h2non-parth mikelo2
golang-github-hailocab-hostpool mikelo2
golang-github-hashicorp-hclog alexsaezm
golang-github-hashicorp-msgpack fuller
golang-github-hashicorp-syslog dcavalca
golang-github-hdrhistogram mikelo2
golang-github-hexdigest-gowrap dcavalca
golang-github-hhrutter-lzw fale
golang-github-hhrutter-tiff fale
golang-github-huandu-xstrings mikelo2
golang-github-hudl-fargo alexsaezm
golang-github-hugelgupf-socketpair dcavalca
golang-github-hydrogen18-memlistener alexsaezm
golang-github-ianbruene-difflib dfateyev
golang-github-iancoleman-strcase alexsaezm
golang-github-ianlancetaylor-demangle jchaloup mikelo2
